target	fit	tc_morgan	tc_maccs
6ooy_ligand.sdf	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)N[C@@H](C)C(=O)N[C@@H](C)c3ccncc3)[nH]c3ccc(Cl)cc23)c1	0.17777777777777778	0.3333333333333333
6ooy_ligand.sdf	Cc1cc(C#N)cc(C)c1Oc1ccnc(Nc2ccc(C#N)cc2)n1	0.22429906542056074	0.3181818181818182
6ooy_ligand.sdf	CCn1c(=O)[nH]c2cccc(Oc3cc(C#N)cc(/C=C/C#N)c3)c21	0.16363636363636364	0.4925373134328358
6ooy_ligand.sdf	Cc1cc(C)cc(S(=O)(=O)c2c(C(=O)NC(C)c3cccs3)[nH]c3ccc(Cl)cc23)c1	0.19166666666666668	0.3375
6ooy_ligand.sdf	C=Cc1cnc(Nc2ccc(C#N)cc2)nc1Nc1c(C)cc(C)cc1C	0.23148148148148148	0.3442622950819672
6ooy_ligand.sdf	Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)ncc1N	0.22018348623853212	0.3582089552238806
6ooy_ligand.sdf	Cc1cc(C#N)cc(C)c1Nc1nc(Nc2ccc(C#N)cc2)ncc1C#N	0.21428571428571427	0.3620689655172414
6ooy_ligand.sdf	Cc1cc(C)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2CC2CC=CC2)c1	0.1592920353982301	0.4027777777777778
6ooy_ligand.sdf	CCc1c(Sc2cc(C)cc(C)c2)n(CCC2C=CCC2)c(=O)[nH]c1=O	0.17117117117117117	0.38461538461538464
6ooy_ligand.sdf	Cc1cc(C)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2CCC2C=CCC2)c1	0.16521739130434782	0.41333333333333333
6ooy_ligand.sdf	CCc1c(C(=O)c2ccccc2)n(CC2CC=CC2)c(=O)[nH]c1=O	0.20192307692307693	0.3888888888888889
6ooy_ligand.sdf	Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1	0.1875	0.4153846153846154
6ooy_ligand.sdf	O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1	0.09615384615384616	0.2328767123287671
6ooy_ligand.sdf	Cc1cc(C)cc(C(=O)c2c(C(C)C)c(=O)[nH]c(=O)n2CC2CCCCC2)c1	0.13559322033898305	0.3783783783783784
6ooy_ligand.sdf	CCc1c(C(=O)c2cc(C)cc(C)c2)n(Cc2ccccc2)c(=O)[nH]c1=O	0.2571428571428571	0.375
6ooy_ligand.sdf	O=C(Nc1ccc(-c2cccc(NC(P(=O)(O)O)P(=O)(O)O)c2)cc1)C1CC1	0.1565217391304348	0.24324324324324326
6ooy_ligand.sdf	Nc1nc2c(ncn2[C@H]2CO[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1	0.06153846153846154	0.40229885057471265
6ooy_ligand.sdf	Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1	0.10377358490566038	0.5396825396825397
6ooy_ligand.sdf	Cc1cc(C#N)cc(C)c1Oc1ccnc(NC2CCN(c3ccc(S(N)(=O)=O)cc3)CC2)n1	0.18604651162790697	0.3368421052631579
6ooy_ligand.sdf	Cc1cc(C#N)cc(C)c1Oc1ccnc(NC2CCN(c3cccc(C#N)c3)CC2)n1	0.192	0.4305555555555556
6ooy_ligand.sdf	N#Cc1ccc(Nc2nc(N)nc(Cc3c(Cl)cccc3Cl)n2)cc1	0.18518518518518517	0.3492063492063492
6ooy_ligand.sdf	Cc1cc(C#N)cc(C)c1Oc1nc(Nc2ccc(C#N)cc2)ncc1[N+](=O)[O-]	0.21052631578947367	0.34615384615384615
6ooy_ligand.sdf	Cc1cc(C)cc(Sc2c(C(C)C)c(=O)[nH]c(=O)n2Cc2ccccc2)c1	0.24528301886792453	0.35135135135135137
6ooy_ligand.sdf	CCc1c(Sc2cc(C)cc(C)c2)n(CC2=CCCC2)c(=O)[nH]c1=O	0.1651376146788991	0.35
6ooy_ligand.sdf	CCc1c(Oc2cc(C)cc(C)c2)n(CCC2C=CCC2)c(=O)[nH]c1=O	0.17117117117117117	0.40789473684210525
6ooy_ligand.sdf	CCCNC(=O)c1cnc(Nc2ccc(C#N)cc2)cc1Oc1c(C)cc(C)cc1C	0.23076923076923078	0.3888888888888889
