Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTverskyRefColorTversky	ScaledColor	ComboScore	ColorScore	Overlap
1rt5_UC2_1_ligand	6ooz_ligand	1	 0.909	 0.592	 0.318	 1.390	 0.802	 0.588	 1.102	 0.693	 0.409	 0.402	 0.994	-3.618	817.500
1rt6_UC3_1_ligand	6ooz_ligand	1	 0.648	 0.497	 0.151	 1.110	 0.791	 0.319	 0.794	 0.572	 0.222	 0.218	 0.715	-1.963	669.611
1rt7_UC4_1_ligand	6ooz_ligand	1	 0.690	 0.491	 0.199	 1.090	 0.716	 0.374	 0.909	 0.610	 0.298	 0.295	 0.786	-2.656	719.232
1rth_U05_1_ligand	6ooz_ligand	1	 0.735	 0.471	 0.264	 1.160	 0.689	 0.471	 0.973	 0.598	 0.375	 0.371	 0.842	-3.342	705.437
1rti_HEF_1_ligand	6ooz_ligand	1	 0.776	 0.577	 0.199	 1.181	 0.830	 0.351	 0.969	 0.654	 0.316	 0.314	 0.891	-2.826	767.795
1s1t_UC1_1_ligand	6ooz_ligand	1	 0.837	 0.611	 0.226	 1.265	 0.849	 0.416	 1.018	 0.686	 0.332	 0.328	 0.939	-2.954	806.395
1s1u_NVP_1_ligand	6ooz_ligand	1	 0.754	 0.531	 0.223	 1.193	 0.782	 0.411	 0.952	 0.623	 0.328	 0.325	 0.856	-2.921	732.618
1s1v_TNK_1_ligand	6ooz_ligand	1	 0.736	 0.527	 0.209	 1.055	 0.690	 0.365	 1.019	 0.691	 0.328	 0.326	 0.853	-2.938	820.813
1s1w_UC1_1_ligand	6ooz_ligand	1	 0.834	 0.549	 0.285	 1.294	 0.795	 0.499	 1.039	 0.640	 0.398	 0.394	 0.943	-3.545	753.072
1s1x_NVP_1_ligand	6ooz_ligand	1	 0.753	 0.525	 0.228	 1.192	 0.773	 0.418	 0.954	 0.620	 0.334	 0.330	 0.855	-2.971	728.858
1s6q_TPB_1_ligand	6ooz_ligand	1	 0.859	 0.579	 0.280	 1.224	 0.762	 0.462	 1.123	 0.707	 0.415	 0.413	 0.992	-3.718	837.546
1s9e_ADB_1_ligand	6ooz_ligand	1	 0.782	 0.561	 0.221	 1.071	 0.739	 0.332	 1.098	 0.699	 0.398	 0.403	 0.963	-3.624	828.863
1tkt_H12_1_ligand	6ooz_ligand	1	 0.835	 0.631	 0.204	 1.239	 0.858	 0.381	 1.009	 0.705	 0.304	 0.301	 0.932	-2.706	829.522
1tkx_GWB_1_ligand	6ooz_ligand	1	 0.803	 0.653	 0.150	 1.208	 0.891	 0.317	 0.931	 0.710	 0.221	 0.217	 0.870	-1.953	834.567
1tkz_H16_1_ligand	6ooz_ligand	1	 0.830	 0.631	 0.199	 1.275	 0.870	 0.405	 0.978	 0.696	 0.281	 0.276	 0.907	-2.488	818.518
1tl1_H18_1_ligand	6ooz_ligand	1	 0.814	 0.630	 0.184	 1.209	 0.858	 0.351	 0.983	 0.703	 0.280	 0.277	 0.907	-2.489	827.408
1tl3_H20_1_ligand	6ooz_ligand	1	 0.840	 0.638	 0.202	 1.243	 0.864	 0.379	 1.012	 0.709	 0.302	 0.299	 0.937	-2.691	834.538
1tvr_TB9_1_ligand	6ooz_ligand	1	 0.752	 0.570	 0.182	 1.135	 0.827	 0.308	 0.955	 0.647	 0.308	 0.308	 0.878	-2.773	759.617
1vrt_NVP_1_ligand	6ooz_ligand	1	 0.737	 0.470	 0.266	 1.189	 0.715	 0.474	 0.957	 0.579	 0.378	 0.374	 0.844	-3.365	681.006
1vru_AAP_1_ligand	6ooz_ligand	1	 0.820	 0.593	 0.227	 1.256	 0.805	 0.451	 1.006	 0.693	 0.313	 0.308	 0.901	-2.774	816.958
2b5j_3AC_1_ligand	6ooz_ligand	1	 0.683	 0.554	 0.129	 1.041	 0.799	 0.241	 0.860	 0.643	 0.217	 0.216	 0.769	-1.944	755.903
2ban_357_1_ligand	6ooz_ligand	1	 0.785	 0.643	 0.143	 1.140	 0.836	 0.304	 0.947	 0.735	 0.212	 0.208	 0.851	-1.872	868.270
2be2_R22_1_ligand	6ooz_ligand	1	 0.664	 0.514	 0.150	 0.970	 0.695	 0.275	 0.912	 0.665	 0.247	 0.246	 0.760	-2.214	787.977
2hnd_NVP_1_ligand	6ooz_ligand	1	 0.757	 0.535	 0.222	 1.194	 0.784	 0.410	 0.954	 0.627	 0.327	 0.323	 0.858	-2.910	737.115
2hny_NVP_1_ligand	6ooz_ligand	1	 0.753	 0.527	 0.226	 1.190	 0.775	 0.415	 0.953	 0.623	 0.331	 0.327	 0.854	-2.945	731.928
2hnz_PC0_1_ligand	6ooz_ligand	1	 0.853	 0.611	 0.242	 1.236	 0.824	 0.412	 1.073	 0.702	 0.371	 0.369	 0.979	-3.317	827.960
2ic3_HBY_1_ligand	6ooz_ligand	1	 0.771	 0.656	 0.116	 1.106	 0.888	 0.219	 0.912	 0.715	 0.197	 0.196	 0.852	-1.761	841.069
2jle_I15_1_ligand	6ooz_ligand	1	 0.713	 0.490	 0.224	 1.094	 0.708	 0.386	 0.961	 0.614	 0.347	 0.345	 0.835	-3.109	724.035
2opp_HBQ_1_ligand	6ooz_ligand	1	 0.776	 0.599	 0.177	 1.196	 0.857	 0.338	 0.936	 0.666	 0.270	 0.267	 0.866	-2.402	781.650
2opq_HBQ_1_ligand	6ooz_ligand	1	 0.772	 0.600	 0.172	 1.194	 0.863	 0.331	 0.927	 0.663	 0.264	 0.261	 0.861	-2.352	778.138
2opr_HBQ_1_ligand	6ooz_ligand	1	 0.769	 0.583	 0.186	 1.199	 0.846	 0.353	 0.934	 0.653	 0.282	 0.278	 0.862	-2.506	765.788
2ops_HBQ_1_ligand	6ooz_ligand	1	 0.796	 0.614	 0.182	 1.219	 0.872	 0.347	 0.952	 0.675	 0.277	 0.274	 0.888	-2.462	792.246
2rf2_MRX_1_ligand	6ooz_ligand	1	 0.837	 0.606	 0.231	 1.231	 0.856	 0.375	 1.050	 0.675	 0.375	 0.375	 0.981	-3.375	792.643
2rki_TT1_1_ligand	6ooz_ligand	1	 0.692	 0.475	 0.217	 1.095	 0.660	 0.434	 0.931	 0.630	 0.302	 0.297	 0.772	-2.671	746.305
2vg5_NNC_1_ligand	6ooz_ligand	1	 1.037	 0.714	 0.322	 1.408	 0.859	 0.549	 1.248	 0.810	 0.438	 0.433	 1.148	-3.900	959.214
2vg7_NNI_1_ligand	6ooz_ligand	1	 1.012	 0.719	 0.293	 1.344	 0.866	 0.478	 1.240	 0.810	 0.430	 0.428	 1.147	-3.850	958.622
2won_ZZE_1_ligand	6ooz_ligand	1	 0.599	 0.483	 0.116	 0.906	 0.707	 0.198	 0.822	 0.604	 0.218	 0.219	 0.703	-1.974	712.420
2ykm_YKN_1_ligand	6ooz_ligand	1	 0.840	 0.590	 0.249	 1.322	 0.835	 0.487	 1.007	 0.668	 0.338	 0.333	 0.923	-2.995	785.335
2ynf_WHU_1_ligand	6ooz_ligand	1	 0.462	 0.364	 0.098	 0.666	 0.513	 0.153	 0.771	 0.558	 0.213	 0.218	 0.583	-1.963	666.163
2ynh_EUR_1_ligand	6ooz_ligand	1	 0.456	 0.355	 0.102	 0.659	 0.495	 0.164	 0.767	 0.555	 0.212	 0.215	 0.570	-1.939	664.702
2zd1_T27_1_ligand	6ooz_ligand	1	 0.772	 0.525	 0.247	 1.070	 0.675	 0.396	 1.099	 0.703	 0.396	 0.396	 0.921	-3.563	838.040
2ze2_T27_1_ligand	6ooz_ligand	1	 0.689	 0.472	 0.217	 0.988	 0.631	 0.357	 1.008	 0.651	 0.357	 0.357	 0.828	-3.211	775.618
3bgr_T27_1_ligand	6ooz_ligand	1	 0.745	 0.504	 0.240	 1.044	 0.657	 0.388	 1.073	 0.685	 0.388	 0.388	 0.892	-3.488	816.133
3c6t_M14_1_ligand	6ooz_ligand	1	 0.558	 0.406	 0.152	 0.771	 0.530	 0.242	 0.926	 0.636	 0.289	 0.293	 0.699	-2.634	764.653
3c6u_M22_1_ligand	6ooz_ligand	1	 0.552	 0.391	 0.161	 0.822	 0.544	 0.278	 0.860	 0.582	 0.278	 0.278	 0.669	-2.500	694.145
3di6_PDZ_1_ligand	6ooz_ligand	1	 0.692	 0.465	 0.227	 1.085	 0.668	 0.417	 0.937	 0.605	 0.333	 0.329	 0.794	-2.961	714.802
3dle_GFA_1_ligand	6ooz_ligand	1	 0.688	 0.411	 0.277	 1.077	 0.588	 0.489	 0.966	 0.577	 0.390	 0.385	 0.796	-3.469	684.556
3dlg_GWE_1_ligand	6ooz_ligand	1	 0.527	 0.341	 0.185	 0.750	 0.451	 0.299	 0.912	 0.584	 0.328	 0.330	 0.671	-2.972	705.117
3dmj_GWE_1_ligand	6ooz_ligand	1	 0.531	 0.346	 0.185	 0.753	 0.455	 0.298	 0.919	 0.591	 0.328	 0.330	 0.676	-2.967	714.247
3dok_GWJ_1_ligand	6ooz_ligand	1	 0.548	 0.349	 0.200	 0.776	 0.471	 0.305	 0.939	 0.574	 0.366	 0.370	 0.719	-3.329	690.143
3dol_GWI_1_ligand	6ooz_ligand	1	 0.508	 0.324	 0.184	 0.694	 0.428	 0.267	 0.943	 0.571	 0.371	 0.380	 0.703	-3.416	692.164
3drp_R8E_1_ligand	6ooz_ligand	1	 0.589	 0.413	 0.176	 0.819	 0.554	 0.265	 0.963	 0.619	 0.343	 0.349	 0.762	-3.140	740.938
3drr_R8E_1_ligand	6ooz_ligand	1	 0.582	 0.405	 0.177	 0.813	 0.546	 0.266	 0.956	 0.611	 0.345	 0.351	 0.756	-3.155	730.830
3dya_PZL_1_ligand	6ooz_ligand	1	 0.615	 0.404	 0.211	 0.873	 0.553	 0.319	 0.983	 0.601	 0.383	 0.387	 0.791	-3.482	717.207
3e01_PZ2_1_ligand	6ooz_ligand	1	 0.643	 0.439	 0.204	 0.907	 0.596	 0.311	 0.997	 0.625	 0.373	 0.377	 0.816	-3.391	744.263
3hvt_NVP_1_ligand	6ooz_ligand	1	 0.729	 0.520	 0.210	 1.152	 0.761	 0.390	 0.933	 0.621	 0.311	 0.308	 0.828	-2.772	730.801
3i0r_RT3_1_ligand	6ooz_ligand	1	 0.548	 0.434	 0.114	 0.802	 0.587	 0.216	 0.820	 0.626	 0.194	 0.193	 0.627	-1.737	746.817
3i0s_RT7_1_ligand	6ooz_ligand	1	 0.529	 0.396	 0.134	 0.795	 0.546	 0.249	 0.814	 0.590	 0.224	 0.223	 0.618	-2.003	704.198
3irx_UDR_1_ligand	6ooz_ligand	1	 0.532	 0.472	 0.060	 0.667	 0.560	 0.107	 0.869	 0.751	 0.118	 0.119	 0.591	-1.068	909.621
3is9_AC7_1_ligand	6ooz_ligand	1	 0.519	 0.406	 0.112	 0.702	 0.509	 0.193	 0.880	 0.668	 0.212	 0.213	 0.620	-1.921	807.805
3lak_KR1_1_ligand	6ooz_ligand	1	 0.629	 0.516	 0.113	 0.821	 0.641	 0.180	 0.959	 0.726	 0.233	 0.237	 0.753	-2.130	869.367
3lal_KRV_1_ligand	6ooz_ligand	1	 0.698	 0.577	 0.122	 1.005	 0.776	 0.229	 0.898	 0.692	 0.206	 0.205	 0.782	-1.843	817.785
3lam_KRP_1_ligand	6ooz_ligand	1	 0.710	 0.539	 0.171	 1.027	 0.735	 0.292	 0.960	 0.669	 0.292	 0.292	 0.831	-2.624	790.942
3lan_KBT_1_ligand	6ooz_ligand	1	 0.707	 0.529	 0.177	 1.010	 0.709	 0.301	 0.977	 0.676	 0.301	 0.301	 0.830	-2.709	801.688
3lp0_NVP_2_ligand	6ooz_ligand	1	 0.753	 0.526	 0.226	 1.185	 0.769	 0.416	 0.957	 0.625	 0.332	 0.328	 0.855	-2.954	735.552
3lp1_NVP_2_ligand	6ooz_ligand	1	 0.754	 0.527	 0.227	 1.185	 0.768	 0.417	 0.960	 0.627	 0.333	 0.329	 0.856	-2.964	737.414
3lp2_LP9_1_ligand	6ooz_ligand	1	 0.584	 0.392	 0.192	 0.815	 0.529	 0.286	 0.973	 0.602	 0.370	 0.377	 0.769	-3.389	721.556
3m8p_65B_1_ligand	6ooz_ligand	1	 0.765	 0.552	 0.214	 0.998	 0.686	 0.312	 1.142	 0.738	 0.404	 0.411	 0.963	-3.695	880.896
3m8q_DJZ_1_ligand	6ooz_ligand	1	 0.607	 0.458	 0.150	 0.791	 0.567	 0.224	 1.014	 0.703	 0.311	 0.318	 0.776	-2.863	846.683
3mec_65B_1_ligand	6ooz_ligand	1	 0.754	 0.539	 0.215	 1.003	 0.689	 0.314	 1.118	 0.711	 0.406	 0.413	 0.952	-3.718	846.910
3med_65B_1_ligand	6ooz_ligand	1	 0.769	 0.549	 0.220	 1.017	 0.697	 0.319	 1.135	 0.721	 0.414	 0.421	 0.970	-3.785	858.684
3mee_T27_1_ligand	6ooz_ligand	1	 0.809	 0.553	 0.256	 1.111	 0.704	 0.407	 1.128	 0.721	 0.407	 0.407	 0.960	-3.666	858.148
3meg_T27_1_ligand	6ooz_ligand	1	 0.802	 0.548	 0.254	 1.104	 0.699	 0.405	 1.122	 0.717	 0.405	 0.405	 0.953	-3.642	853.373
3nbp_JGZ_1_ligand	6ooz_ligand	1	 0.615	 0.454	 0.161	 0.807	 0.561	 0.246	 1.023	 0.705	 0.318	 0.324	 0.778	-2.913	849.398
3qip_NVP_1_ligand	6ooz_ligand	1	 0.743	 0.518	 0.226	 1.176	 0.761	 0.415	 0.949	 0.618	 0.331	 0.327	 0.845	-2.946	726.966
3qlh_T27_2_ligand	6ooz_ligand	1	 0.747	 0.507	 0.240	 1.047	 0.659	 0.387	 1.073	 0.686	 0.387	 0.387	 0.894	-3.484	817.374
3t19_5MA_1_ligand	6ooz_ligand	1	 0.450	 0.372	 0.078	 0.626	 0.501	 0.125	 0.763	 0.590	 0.173	 0.177	 0.549	-1.594	707.981
3t1a_5MA_1_ligand	6ooz_ligand	1	 0.466	 0.365	 0.100	 0.650	 0.493	 0.157	 0.803	 0.585	 0.218	 0.223	 0.588	-2.008	702.132
3tam_M06_1_ligand	6ooz_ligand	1	 0.554	 0.388	 0.166	 0.812	 0.540	 0.272	 0.878	 0.580	 0.299	 0.300	 0.688	-2.702	692.080
4g1q_T27_1_ligand	6ooz_ligand	1	 0.799	 0.548	 0.251	 1.087	 0.686	 0.402	 1.133	 0.732	 0.402	 0.402	 0.949	-3.614	872.965
4h4m_494_1_ligand	6ooz_ligand	1	 0.604	 0.424	 0.180	 0.873	 0.567	 0.305	 0.932	 0.627	 0.305	 0.305	 0.730	-2.748	749.431
4h4o_506_1_ligand	6ooz_ligand	1	 0.611	 0.435	 0.176	 0.875	 0.576	 0.299	 0.941	 0.641	 0.299	 0.299	 0.735	-2.694	766.899
4i2p_G73_1_ligand	6ooz_ligand	1	 0.724	 0.520	 0.204	 0.924	 0.632	 0.292	 1.151	 0.745	 0.406	 0.415	 0.935	-3.734	894.879
4i2q_1BT_1_ligand	6ooz_ligand	1	 0.723	 0.528	 0.195	 0.903	 0.630	 0.273	 1.172	 0.766	 0.406	 0.417	 0.945	-3.753	921.714
4i7f_NVE_1_ligand	6ooz_ligand	1	 0.516	 0.356	 0.160	 0.741	 0.465	 0.277	 0.879	 0.603	 0.277	 0.277	 0.632	-2.489	728.089
4id5_T27_1_ligand	6ooz_ligand	1	 0.783	 0.537	 0.246	 1.075	 0.680	 0.395	 1.113	 0.718	 0.395	 0.395	 0.932	-3.558	856.245
4ifv_T27_1_ligand	6ooz_ligand	1	 0.775	 0.531	 0.244	 1.067	 0.676	 0.392	 1.105	 0.714	 0.392	 0.392	 0.923	-3.527	850.727
4ig3_T27_1_ligand	6ooz_ligand	1	 0.784	 0.537	 0.247	 1.076	 0.680	 0.396	 1.115	 0.719	 0.396	 0.396	 0.933	-3.564	857.302
4kfb_T27_2_ligand	6ooz_ligand	1	 0.791	 0.540	 0.251	 1.083	 0.682	 0.401	 1.123	 0.722	 0.401	 0.401	 0.941	-3.610	861.007
4kko_1RE_1_ligand	6ooz_ligand	1	 0.497	 0.369	 0.128	 0.687	 0.501	 0.186	 0.876	 0.582	 0.294	 0.303	 0.672	-2.730	698.612
4ko0_JLJ_1_ligand	6ooz_ligand	1	 0.773	 0.555	 0.218	 1.127	 0.769	 0.358	 1.024	 0.665	 0.358	 0.358	 0.913	-3.223	784.996
4lsl_1YQ_1_ligand	6ooz_ligand	1	 0.576	 0.441	 0.135	 0.828	 0.591	 0.237	 0.873	 0.636	 0.237	 0.237	 0.679	-2.136	759.125
4mfb_29T_1_ligand	6ooz_ligand	1	 0.580	 0.453	 0.127	 0.807	 0.592	 0.215	 0.895	 0.658	 0.236	 0.238	 0.691	-2.140	787.516
4rw4_494_1_ligand	6ooz_ligand	1	 0.632	 0.440	 0.192	 0.904	 0.582	 0.322	 0.966	 0.643	 0.322	 0.322	 0.762	-2.902	768.799
4rw6_494_1_ligand	6ooz_ligand	1	 0.585	 0.444	 0.141	 0.833	 0.586	 0.247	 0.895	 0.648	 0.247	 0.247	 0.692	-2.226	774.337
5cyq_T27_1_ligand	6ooz_ligand	1	 0.777	 0.533	 0.244	 1.070	 0.677	 0.393	 1.107	 0.714	 0.393	 0.393	 0.926	-3.534	851.292
1c0t_BM1_1_ligand	6op0_ligand	1	 0.666	 0.482	 0.184	 1.324	 0.830	 0.494	 0.761	 0.535	 0.227	 0.220	 0.702	-2.641	787.281
1c0u_BM5_1_ligand	6op0_ligand	1	 0.663	 0.482	 0.181	 1.211	 0.773	 0.438	 0.797	 0.561	 0.236	 0.230	 0.712	-2.759	830.184
1c1b_GCA_1_ligand	6op0_ligand	1	 0.554	 0.454	 0.100	 0.985	 0.747	 0.237	 0.683	 0.537	 0.146	 0.143	 0.598	-1.721	793.318
1c1c_612_1_ligand	6op0_ligand	1	 0.571	 0.458	 0.112	 1.064	 0.799	 0.265	 0.681	 0.518	 0.163	 0.160	 0.618	-1.918	762.717
1ep4_S11_1_ligand	6op0_ligand	1	 0.672	 0.516	 0.156	 1.049	 0.739	 0.310	 0.870	 0.631	 0.239	 0.236	 0.752	-2.837	939.862
1fk9_EFZ_1_ligand	6op0_ligand	1	 0.682	 0.478	 0.204	 1.416	 0.801	 0.615	 0.776	 0.542	 0.233	 0.226	 0.703	-2.707	800.006
1fko_EFZ_1_ligand	6op0_ligand	1	 0.520	 0.449	 0.071	 1.009	 0.768	 0.240	 0.610	 0.519	 0.091	 0.088	 0.537	-1.058	765.591
1fkp_NVP_1_ligand	6op0_ligand	1	 0.593	 0.470	 0.123	 1.099	 0.812	 0.287	 0.705	 0.527	 0.177	 0.174	 0.643	-2.082	776.769
1jkh_EFZ_1_ligand	6op0_ligand	1	 0.523	 0.301	 0.222	 1.235	 0.574	 0.662	 0.638	 0.387	 0.251	 0.243	 0.543	-2.912	570.639
1jla_TNK_1_ligand	6op0_ligand	1	 0.536	 0.428	 0.108	 0.906	 0.667	 0.238	 0.709	 0.543	 0.166	 0.163	 0.590	-1.955	807.449
1jlb_NVP_1_ligand	6op0_ligand	1	 0.604	 0.480	 0.124	 1.126	 0.836	 0.289	 0.709	 0.530	 0.179	 0.175	 0.655	-2.099	779.953
1jlc_FTC_1_ligand	6op0_ligand	1	 0.679	 0.516	 0.163	 1.178	 0.837	 0.341	 0.811	 0.574	 0.237	 0.233	 0.749	-2.799	846.799
1jlf_NVP_1_ligand	6op0_ligand	1	 0.605	 0.481	 0.124	 1.116	 0.827	 0.289	 0.713	 0.534	 0.178	 0.175	 0.655	-2.097	786.889
1jlg_UC1_1_ligand	6op0_ligand	1	 0.680	 0.525	 0.155	 1.223	 0.870	 0.352	 0.787	 0.569	 0.217	 0.213	 0.738	-2.555	838.691
1jlq_SBN_1_ligand	6op0_ligand	1	 0.606	 0.488	 0.118	 1.151	 0.874	 0.277	 0.696	 0.525	 0.171	 0.167	 0.655	-2.008	770.606
1klm_SPP_1_ligand	6op0_ligand	1	 0.627	 0.493	 0.133	 0.907	 0.672	 0.235	 0.886	 0.650	 0.235	 0.235	 0.729	-2.825	974.717
1lw0_NVP_1_ligand	6op0_ligand	1	 0.601	 0.478	 0.123	 1.104	 0.817	 0.286	 0.712	 0.535	 0.177	 0.173	 0.651	-2.076	788.166
1lw2_U05_1_ligand	6op0_ligand	1	 0.554	 0.425	 0.128	 1.025	 0.727	 0.298	 0.690	 0.506	 0.184	 0.180	 0.605	-2.160	747.425
1lwc_NVP_1_ligand	6op0_ligand	1	 0.602	 0.478	 0.124	 1.108	 0.819	 0.289	 0.713	 0.535	 0.178	 0.175	 0.653	-2.096	787.480
1lwe_NVP_1_ligand	6op0_ligand	1	 0.592	 0.469	 0.123	 1.095	 0.809	 0.286	 0.704	 0.528	 0.177	 0.173	 0.642	-2.075	777.273
1lwf_NVP_1_ligand	6op0_ligand	1	 0.599	 0.476	 0.123	 1.102	 0.815	 0.287	 0.711	 0.534	 0.177	 0.173	 0.649	-2.079	786.219
1rev_TB9_1_ligand	6op0_ligand	1	 0.691	 0.512	 0.179	 1.203	 0.856	 0.348	 0.829	 0.561	 0.269	 0.265	 0.777	-3.183	825.781
1rt1_MKC_1_ligand	6op0_ligand	1	 0.669	 0.505	 0.164	 1.199	 0.830	 0.369	 0.791	 0.563	 0.228	 0.223	 0.728	-2.678	830.758
1rt2_TNK_1_ligand	6op0_ligand	1	 0.543	 0.392	 0.151	 0.939	 0.620	 0.320	 0.738	 0.516	 0.222	 0.218	 0.610	-2.621	767.395
1rt3_U05_1_ligand	6op0_ligand	1	 0.549	 0.385	 0.165	 1.036	 0.665	 0.370	 0.705	 0.477	 0.228	 0.224	 0.608	-2.685	704.660
1rt4_UC1_1_ligand	6op0_ligand	1	 0.701	 0.533	 0.168	 1.251	 0.873	 0.377	 0.810	 0.577	 0.233	 0.228	 0.761	-2.736	850.759
1rt5_UC2_1_ligand	6op0_ligand	1	 0.669	 0.514	 0.155	 1.207	 0.824	 0.383	 0.784	 0.578	 0.206	 0.201	 0.715	-2.411	853.178
1rt6_UC3_1_ligand	6op0_ligand	1	 0.620	 0.502	 0.118	 1.205	 0.903	 0.302	 0.693	 0.530	 0.163	 0.159	 0.660	-1.905	778.175
1rt7_UC4_1_ligand	6op0_ligand	1	 0.704	 0.553	 0.151	 1.215	 0.872	 0.343	 0.814	 0.602	 0.212	 0.207	 0.760	-2.487	888.967
1rth_U05_1_ligand	6op0_ligand	1	 0.558	 0.428	 0.130	 1.028	 0.726	 0.302	 0.697	 0.511	 0.186	 0.182	 0.610	-2.188	754.107
1rti_HEF_1_ligand	6op0_ligand	1	 0.627	 0.453	 0.174	 1.161	 0.800	 0.362	 0.762	 0.511	 0.251	 0.247	 0.700	-2.965	752.234
1s1t_UC1_1_ligand	6op0_ligand	1	 0.737	 0.521	 0.216	 1.331	 0.866	 0.465	 0.855	 0.567	 0.287	 0.281	 0.803	-3.374	835.963
1s1u_NVP_1_ligand	6op0_ligand	1	 0.613	 0.488	 0.125	 1.127	 0.835	 0.291	 0.720	 0.540	 0.180	 0.176	 0.664	-2.112	795.578
1s1v_TNK_1_ligand	6op0_ligand	1	 0.572	 0.403	 0.169	 0.994	 0.641	 0.353	 0.766	 0.520	 0.245	 0.241	 0.644	-2.897	773.042
1s1w_UC1_1_ligand	6op0_ligand	1	 0.686	 0.530	 0.157	 1.231	 0.876	 0.355	 0.792	 0.573	 0.219	 0.215	 0.744	-2.575	843.584
1s1x_NVP_1_ligand	6op0_ligand	1	 0.588	 0.466	 0.122	 1.091	 0.806	 0.284	 0.700	 0.525	 0.175	 0.172	 0.638	-2.061	772.783
1s6q_TPB_1_ligand	6op0_ligand	1	 0.758	 0.573	 0.185	 1.228	 0.848	 0.380	 0.903	 0.639	 0.264	 0.260	 0.833	-3.115	946.216
1s9e_ADB_1_ligand	6op0_ligand	1	 0.749	 0.579	 0.170	 1.147	 0.844	 0.302	 0.927	 0.648	 0.279	 0.278	 0.857	-3.340	960.296
1tkt_H12_1_ligand	6op0_ligand	1	 0.772	 0.550	 0.222	 1.363	 0.887	 0.476	 0.885	 0.591	 0.294	 0.288	 0.837	-3.450	871.464
1tkx_GWB_1_ligand	6op0_ligand	1	 0.690	 0.514	 0.176	 1.292	 0.864	 0.428	 0.789	 0.559	 0.231	 0.225	 0.738	-2.697	822.751
1tkz_H16_1_ligand	6op0_ligand	1	 0.677	 0.518	 0.159	 1.259	 0.866	 0.392	 0.774	 0.562	 0.211	 0.206	 0.724	-2.472	828.298
1tl1_H18_1_ligand	6op0_ligand	1	 0.672	 0.519	 0.153	 1.203	 0.856	 0.348	 0.783	 0.569	 0.214	 0.210	 0.729	-2.519	838.231
1tl3_H20_1_ligand	6op0_ligand	1	 0.750	 0.536	 0.215	 1.336	 0.872	 0.463	 0.867	 0.581	 0.286	 0.280	 0.815	-3.360	856.495
1tvr_TB9_1_ligand	6op0_ligand	1	 0.700	 0.529	 0.171	 1.226	 0.890	 0.335	 0.824	 0.565	 0.259	 0.256	 0.784	-3.067	831.905
1vrt_NVP_1_ligand	6op0_ligand	1	 0.622	 0.497	 0.124	 1.127	 0.838	 0.290	 0.729	 0.550	 0.179	 0.175	 0.672	-2.101	810.789
1vru_AAP_1_ligand	6op0_ligand	1	 0.685	 0.492	 0.193	 1.265	 0.802	 0.463	 0.809	 0.560	 0.249	 0.243	 0.735	-2.917	826.496
2b5j_3AC_1_ligand	6op0_ligand	1	 0.574	 0.430	 0.144	 1.068	 0.761	 0.307	 0.710	 0.497	 0.213	 0.210	 0.639	-2.518	731.564
2ban_357_1_ligand	6op0_ligand	1	 0.659	 0.537	 0.122	 1.149	 0.839	 0.310	 0.766	 0.599	 0.167	 0.163	 0.700	-1.954	884.783
2be2_R22_1_ligand	6op0_ligand	1	 0.660	 0.534	 0.125	 1.069	 0.797	 0.272	 0.807	 0.618	 0.189	 0.186	 0.720	-2.230	916.473
2hnd_NVP_1_ligand	6op0_ligand	1	 0.612	 0.487	 0.125	 1.123	 0.832	 0.291	 0.719	 0.540	 0.180	 0.176	 0.663	-2.111	794.951
2hny_NVP_1_ligand	6op0_ligand	1	 0.601	 0.477	 0.124	 1.107	 0.818	 0.289	 0.712	 0.533	 0.178	 0.175	 0.651	-2.097	785.525
2hnz_PC0_1_ligand	6op0_ligand	1	 0.712	 0.489	 0.223	 1.249	 0.804	 0.445	 0.865	 0.556	 0.309	 0.304	 0.793	-3.648	820.250
2ic3_HBY_1_ligand	6op0_ligand	1	 0.633	 0.469	 0.164	 1.151	 0.808	 0.344	 0.767	 0.528	 0.239	 0.235	 0.704	-2.819	777.818
2jle_I15_1_ligand	6op0_ligand	1	 0.648	 0.481	 0.167	 1.135	 0.786	 0.349	 0.795	 0.553	 0.242	 0.238	 0.719	-2.860	816.804
2opp_HBQ_1_ligand	6op0_ligand	1	 0.658	 0.490	 0.167	 1.227	 0.851	 0.376	 0.768	 0.536	 0.232	 0.227	 0.717	-2.724	789.084
2opq_HBQ_1_ligand	6op0_ligand	1	 0.660	 0.490	 0.170	 1.236	 0.856	 0.380	 0.768	 0.534	 0.234	 0.230	 0.720	-2.755	785.198
2opr_HBQ_1_ligand	6op0_ligand	1	 0.653	 0.486	 0.167	 1.224	 0.849	 0.375	 0.763	 0.532	 0.231	 0.227	 0.712	-2.719	781.793
2ops_HBQ_1_ligand	6op0_ligand	1	 0.669	 0.501	 0.167	 1.241	 0.865	 0.376	 0.776	 0.544	 0.232	 0.227	 0.728	-2.725	799.830
2rf2_MRX_1_ligand	6op0_ligand	1	 0.714	 0.499	 0.215	 1.260	 0.853	 0.406	 0.859	 0.546	 0.314	 0.310	 0.809	-3.718	803.018
