Name	ShapeQuery	Rank	TanimotoCombo	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTverskyRefColorTversky	ScaledColor	ComboScore	ColorScore	Overlap
1s1w_UC1_1_ligand	6ooy_ligand	1	 0.811	 0.640	 0.171	 1.067	 0.775	 0.292	 1.078	 0.786	 0.292	 0.292	 0.932	-2.047	724.059
1s1x_NVP_1_ligand	6ooy_ligand	1	 0.775	 0.607	 0.168	 1.040	 0.752	 0.288	 1.047	 0.759	 0.288	 0.288	 0.895	-2.017	699.171
1s6q_TPB_1_ligand	6ooy_ligand	1	 0.809	 0.566	 0.243	 1.040	 0.671	 0.369	 1.200	 0.784	 0.416	 0.419	 0.985	-2.932	728.629
1s9e_ADB_1_ligand	6ooy_ligand	1	 0.741	 0.557	 0.184	 0.917	 0.658	 0.258	 1.171	 0.784	 0.388	 0.399	 0.956	-2.792	729.537
1tkt_H12_1_ligand	6ooy_ligand	1	 0.855	 0.543	 0.312	 1.168	 0.693	 0.476	 1.191	 0.715	 0.476	 0.476	 1.019	-3.330	659.980
1tkx_GWB_1_ligand	6ooy_ligand	1	 0.824	 0.562	 0.262	 1.165	 0.719	 0.446	 1.109	 0.721	 0.388	 0.385	 0.948	-2.698	663.634
1tkz_H16_1_ligand	6ooy_ligand	1	 0.819	 0.519	 0.300	 1.177	 0.681	 0.496	 1.117	 0.685	 0.432	 0.429	 0.948	-3.002	631.424
1tl1_H18_1_ligand	6ooy_ligand	1	 0.772	 0.494	 0.278	 1.086	 0.651	 0.435	 1.106	 0.671	 0.435	 0.435	 0.929	-3.046	619.032
1tl3_H20_1_ligand	6ooy_ligand	1	 0.838	 0.628	 0.210	 1.107	 0.760	 0.347	 1.131	 0.784	 0.347	 0.347	 0.975	-2.430	723.626
1tvr_TB9_1_ligand	6ooy_ligand	1	 0.904	 0.617	 0.287	 1.170	 0.770	 0.401	 1.259	 0.757	 0.502	 0.509	 1.127	-3.566	696.602
1vrt_NVP_1_ligand	6ooy_ligand	1	 0.770	 0.603	 0.167	 1.031	 0.745	 0.286	 1.045	 0.759	 0.286	 0.286	 0.889	-2.001	699.977
1vru_AAP_1_ligand	6ooy_ligand	1	 0.927	 0.634	 0.293	 1.234	 0.747	 0.487	 1.232	 0.808	 0.424	 0.421	 1.055	-2.945	747.681
2b5j_3AC_1_ligand	6ooy_ligand	1	 0.768	 0.613	 0.155	 1.008	 0.756	 0.253	 1.050	 0.765	 0.285	 0.287	 0.900	-2.008	704.850
2ban_357_1_ligand	6ooy_ligand	1	 0.905	 0.729	 0.176	 1.124	 0.803	 0.321	 1.168	 0.888	 0.280	 0.278	 1.007	-1.945	822.975
2be2_R22_1_ligand	6ooy_ligand	1	 0.691	 0.551	 0.140	 0.882	 0.651	 0.231	 1.043	 0.783	 0.261	 0.263	 0.814	-1.838	729.026
2hnd_NVP_1_ligand	6ooy_ligand	1	 0.767	 0.601	 0.165	 1.033	 0.749	 0.284	 1.037	 0.753	 0.284	 0.284	 0.885	-1.988	693.854
2hny_NVP_1_ligand	6ooy_ligand	1	 0.772	 0.605	 0.167	 1.036	 0.750	 0.286	 1.044	 0.758	 0.286	 0.286	 0.892	-2.005	698.526
2hnz_PC0_1_ligand	6ooy_ligand	1	 0.718	 0.601	 0.117	 0.923	 0.726	 0.197	 1.000	 0.778	 0.222	 0.224	 0.825	-1.568	719.133
2ic3_HBY_1_ligand	6ooy_ligand	1	 0.818	 0.590	 0.228	 1.087	 0.737	 0.350	 1.142	 0.747	 0.395	 0.398	 0.988	-2.784	688.750
2jle_I15_1_ligand	6ooy_ligand	1	 0.906	 0.675	 0.231	 1.126	 0.772	 0.354	 1.241	 0.842	 0.399	 0.402	 1.077	-2.815	779.513
2opp_HBQ_1_ligand	6ooy_ligand	1	 0.853	 0.612	 0.240	 1.156	 0.769	 0.387	 1.138	 0.751	 0.387	 0.387	 1.000	-2.712	690.572
2opq_HBQ_1_ligand	6ooy_ligand	1	 0.848	 0.605	 0.243	 1.158	 0.767	 0.391	 1.132	 0.741	 0.391	 0.391	 0.996	-2.740	681.031
2opr_HBQ_1_ligand	6ooy_ligand	1	 0.829	 0.589	 0.240	 1.140	 0.753	 0.387	 1.117	 0.731	 0.387	 0.387	 0.976	-2.706	671.696
2ops_HBQ_1_ligand	6ooy_ligand	1	 0.843	 0.603	 0.240	 1.150	 0.762	 0.387	 1.129	 0.742	 0.387	 0.387	 0.990	-2.712	682.323
2rf2_MRX_1_ligand	6ooy_ligand	1	 0.864	 0.720	 0.144	 1.067	 0.841	 0.226	 1.117	 0.833	 0.283	 0.287	 1.007	-2.012	767.116
2rki_TT1_1_ligand	6ooy_ligand	1	 0.777	 0.553	 0.224	 1.046	 0.653	 0.394	 1.126	 0.783	 0.343	 0.340	 0.893	-2.381	729.307
2vg5_NNC_1_ligand	6ooy_ligand	1	 0.913	 0.660	 0.253	 1.136	 0.733	 0.403	 1.273	 0.869	 0.403	 0.403	 1.064	-2.823	809.079
2vg7_NNI_1_ligand	6ooy_ligand	1	 0.900	 0.667	 0.233	 1.097	 0.741	 0.356	 1.272	 0.871	 0.401	 0.404	 1.072	-2.830	809.810
2won_ZZE_1_ligand	6ooy_ligand	1	 0.781	 0.649	 0.132	 0.961	 0.760	 0.201	 1.093	 0.816	 0.277	 0.283	 0.932	-1.979	755.056
2ykm_YKN_1_ligand	6ooy_ligand	1	 0.863	 0.648	 0.215	 1.164	 0.784	 0.380	 1.120	 0.789	 0.331	 0.328	 0.977	-2.298	726.883
2ynf_WHU_1_ligand	6ooy_ligand	1	 0.624	 0.514	 0.111	 0.744	 0.587	 0.157	 1.077	 0.804	 0.273	 0.285	 0.798	-1.995	755.474
2ynh_EUR_1_ligand	6ooy_ligand	1	 0.577	 0.428	 0.150	 0.722	 0.512	 0.211	 1.063	 0.722	 0.341	 0.353	 0.781	-2.474	680.265
2zd1_T27_1_ligand	6ooy_ligand	1	 0.645	 0.469	 0.176	 0.831	 0.563	 0.269	 1.075	 0.738	 0.337	 0.341	 0.811	-2.390	691.763
2ze2_T27_1_ligand	6ooy_ligand	1	 0.711	 0.509	 0.202	 0.899	 0.597	 0.302	 1.154	 0.775	 0.379	 0.385	 0.893	-2.692	726.031
3bgr_T27_1_ligand	6ooy_ligand	1	 0.746	 0.532	 0.214	 0.929	 0.612	 0.317	 1.200	 0.802	 0.397	 0.403	 0.934	-2.819	752.002
3c6t_M14_1_ligand	6ooy_ligand	1	 0.617	 0.443	 0.173	 0.757	 0.511	 0.246	 1.140	 0.771	 0.369	 0.380	 0.823	-2.658	730.623
3c6u_M22_1_ligand	6ooy_ligand	1	 0.652	 0.513	 0.139	 0.811	 0.591	 0.219	 1.070	 0.795	 0.275	 0.279	 0.792	-1.953	746.409
3di6_PDZ_1_ligand	6ooy_ligand	1	 0.709	 0.560	 0.149	 0.934	 0.674	 0.260	 1.028	 0.768	 0.260	 0.260	 0.820	-1.818	712.810
3dle_GFA_1_ligand	6ooy_ligand	1	 0.720	 0.529	 0.191	 0.947	 0.627	 0.321	 1.094	 0.773	 0.321	 0.321	 0.850	-2.245	721.292
3dlg_GWE_1_ligand	6ooy_ligand	1	 0.558	 0.409	 0.149	 0.692	 0.469	 0.224	 1.070	 0.762	 0.308	 0.315	 0.723	-2.202	726.656
3dmj_GWE_1_ligand	6ooy_ligand	1	 0.554	 0.404	 0.150	 0.689	 0.464	 0.225	 1.066	 0.756	 0.310	 0.317	 0.720	-2.217	721.871
3dok_GWJ_1_ligand	6ooy_ligand	1	 0.578	 0.420	 0.158	 0.717	 0.489	 0.228	 1.090	 0.749	 0.341	 0.351	 0.771	-2.458	710.768
3dol_GWI_1_ligand	6ooy_ligand	1	 0.515	 0.377	 0.138	 0.628	 0.437	 0.191	 1.066	 0.734	 0.332	 0.346	 0.724	-2.424	702.216
3drp_R8E_1_ligand	6ooy_ligand	1	 0.701	 0.515	 0.186	 0.835	 0.582	 0.253	 1.228	 0.818	 0.410	 0.425	 0.940	-2.975	770.349
3drr_R8E_1_ligand	6ooy_ligand	1	 0.691	 0.504	 0.187	 0.828	 0.574	 0.255	 1.219	 0.806	 0.413	 0.427	 0.932	-2.992	759.671
3dya_PZL_1_ligand	6ooy_ligand	1	 0.626	 0.502	 0.124	 0.763	 0.579	 0.184	 1.067	 0.791	 0.276	 0.284	 0.786	-1.990	743.152
3e01_PZ2_1_ligand	6ooy_ligand	1	 0.570	 0.392	 0.177	 0.747	 0.496	 0.251	 1.029	 0.653	 0.377	 0.387	 0.780	-2.712	611.887
3hvt_NVP_1_ligand	6ooy_ligand	1	 0.774	 0.606	 0.169	 1.033	 0.745	 0.289	 1.053	 0.764	 0.289	 0.289	 0.894	-2.021	704.909
3i0r_RT3_1_ligand	6ooy_ligand	1	 0.514	 0.377	 0.137	 0.706	 0.478	 0.228	 0.898	 0.641	 0.257	 0.259	 0.636	-1.812	601.821
3i0s_RT7_1_ligand	6ooy_ligand	1	 0.521	 0.358	 0.163	 0.723	 0.458	 0.265	 0.920	 0.622	 0.298	 0.300	 0.659	-2.103	584.552
3irx_UDR_1_ligand	6ooy_ligand	1	 0.584	 0.452	 0.132	 0.698	 0.497	 0.201	 1.113	 0.836	 0.277	 0.283	 0.735	-1.981	799.929
3is9_AC7_1_ligand	6ooy_ligand	1	 0.559	 0.425	 0.134	 0.683	 0.479	 0.204	 1.070	 0.789	 0.281	 0.287	 0.712	-2.011	753.747
3lak_KR1_1_ligand	6ooy_ligand	1	 0.636	 0.519	 0.118	 0.752	 0.582	 0.170	 1.103	 0.828	 0.276	 0.286	 0.804	-1.999	780.490
3lal_KRV_1_ligand	6ooy_ligand	1	 0.922	 0.725	 0.197	 1.105	 0.794	 0.311	 1.242	 0.892	 0.350	 0.353	 1.077	-2.470	826.942
3lam_KRP_1_ligand	6ooy_ligand	1	 0.874	 0.692	 0.182	 1.043	 0.767	 0.276	 1.223	 0.877	 0.346	 0.351	 1.043	-2.459	814.115
3lan_KBT_1_ligand	6ooy_ligand	1	 0.743	 0.600	 0.143	 0.913	 0.688	 0.225	 1.107	 0.825	 0.282	 0.286	 0.886	-2.002	768.220
3lp0_NVP_2_ligand	6ooy_ligand	1	 0.777	 0.609	 0.168	 1.037	 0.749	 0.288	 1.054	 0.766	 0.288	 0.288	 0.897	-2.015	706.328
3lp1_NVP_2_ligand	6ooy_ligand	1	 0.770	 0.602	 0.168	 1.029	 0.741	 0.288	 1.049	 0.761	 0.288	 0.288	 0.889	-2.013	702.283
3lp2_LP9_1_ligand	6ooy_ligand	1	 0.562	 0.357	 0.204	 0.721	 0.447	 0.274	 1.085	 0.640	 0.445	 0.461	 0.818	-3.224	604.142
3m8p_65B_1_ligand	6ooy_ligand	1	 0.715	 0.531	 0.184	 0.855	 0.604	 0.251	 1.223	 0.816	 0.407	 0.421	 0.953	-2.950	766.717
3m8q_DJZ_1_ligand	6ooy_ligand	1	 0.480	 0.335	 0.145	 0.612	 0.412	 0.200	 0.988	 0.641	 0.347	 0.362	 0.697	-2.534	609.387
3mec_65B_1_ligand	6ooy_ligand	1	 0.625	 0.505	 0.119	 0.767	 0.594	 0.172	 1.051	 0.771	 0.279	 0.289	 0.795	-2.025	722.441
3med_65B_1_ligand	6ooy_ligand	1	 0.620	 0.501	 0.119	 0.763	 0.590	 0.173	 1.047	 0.768	 0.280	 0.290	 0.791	-2.028	719.010
3mee_T27_1_ligand	6ooy_ligand	1	 0.554	 0.411	 0.143	 0.742	 0.517	 0.225	 0.948	 0.666	 0.282	 0.286	 0.697	-2.002	623.500
3meg_T27_1_ligand	6ooy_ligand	1	 0.556	 0.409	 0.147	 0.745	 0.515	 0.230	 0.953	 0.665	 0.288	 0.292	 0.701	-2.046	622.225
3nbp_JGZ_1_ligand	6ooy_ligand	1	 0.510	 0.400	 0.111	 0.628	 0.467	 0.161	 0.996	 0.736	 0.261	 0.270	 0.670	-1.891	699.945
3qip_NVP_1_ligand	6ooy_ligand	1	 0.774	 0.606	 0.167	 1.034	 0.747	 0.287	 1.050	 0.763	 0.287	 0.287	 0.893	-2.006	703.662
3qlh_T27_2_ligand	6ooy_ligand	1	 0.651	 0.502	 0.149	 0.823	 0.590	 0.233	 1.064	 0.772	 0.292	 0.296	 0.799	-2.075	723.062
3t19_5MA_1_ligand	6ooy_ligand	1	 0.677	 0.513	 0.164	 0.790	 0.568	 0.222	 1.226	 0.840	 0.385	 0.402	 0.915	-2.813	794.967
3t1a_5MA_1_ligand	6ooy_ligand	1	 0.676	 0.513	 0.163	 0.788	 0.567	 0.221	 1.229	 0.844	 0.384	 0.401	 0.914	-2.805	799.282
3tam_M06_1_ligand	6ooy_ligand	1	 0.639	 0.506	 0.133	 0.788	 0.585	 0.202	 1.069	 0.790	 0.279	 0.285	 0.791	-1.992	741.971
4g1q_T27_1_ligand	6ooy_ligand	1	 0.663	 0.484	 0.179	 0.842	 0.569	 0.272	 1.105	 0.764	 0.342	 0.346	 0.830	-2.425	717.117
4h4m_494_1_ligand	6ooy_ligand	1	 0.665	 0.522	 0.142	 0.814	 0.590	 0.224	 1.101	 0.820	 0.281	 0.285	 0.808	-1.996	771.686
4h4o_506_1_ligand	6ooy_ligand	1	 0.684	 0.541	 0.143	 0.827	 0.602	 0.226	 1.125	 0.843	 0.283	 0.287	 0.828	-2.007	793.709
4i2p_G73_1_ligand	6ooy_ligand	1	 0.642	 0.488	 0.155	 0.760	 0.549	 0.211	 1.180	 0.814	 0.367	 0.382	 0.870	-2.677	769.965
4i2q_1BT_1_ligand	6ooy_ligand	1	 0.617	 0.477	 0.140	 0.723	 0.534	 0.189	 1.168	 0.816	 0.351	 0.369	 0.846	-2.582	774.432
4i7f_NVE_1_ligand	6ooy_ligand	1	 0.522	 0.373	 0.150	 0.672	 0.438	 0.234	 1.007	 0.714	 0.293	 0.297	 0.670	-2.081	680.896
